date,series_id,source,value,frequency,unit
2004-01-31,datos_emae_index,datos.gob.ar,98.4760115642586,M,Index base 2004
2004-02-29,datos_emae_index,datos.gob.ar,98.17671069931733,M,Index base 2004
2004-03-31,datos_emae_index,datos.gob.ar,97.74658789128245,M,Index base 2004
2004-04-30,datos_emae_index,datos.gob.ar,95.2022159374548,M,Index base 2004
2004-05-31,datos_emae_index,datos.gob.ar,96.86968786675963,M,Index base 2004
2004-06-30,datos_emae_index,datos.gob.ar,98.60972751207574,M,Index base 2004
2004-07-31,datos_emae_index,datos.gob.ar,100.80878906646424,M,Index base 2004
2004-08-31,datos_emae_index,datos.gob.ar,102.1771536902096,M,Index base 2004
2004-09-30,datos_emae_index,datos.gob.ar,102.34485117322272,M,Index base 2004
2004-10-31,datos_emae_index,datos.gob.ar,103.1085207622142,M,Index base 2004
2004-11-30,datos_emae_index,datos.gob.ar,103.55481889673894,M,Index base 2004
2004-12-31,datos_emae_index,datos.gob.ar,102.92492494000196,M,Index base 2004
2005-01-31,datos_emae_index,datos.gob.ar,105.6492459192025,M,Index base 2004
2005-02-28,datos_emae_index,datos.gob.ar,105.9878389509426,M,Index base 2004
2005-03-31,datos_emae_index,datos.gob.ar,106.82910570817177,M,Index base 2004
2005-04-30,datos_emae_index,datos.gob.ar,108.05724692641886,M,Index base 2004
2005-05-31,datos_emae_index,datos.gob.ar,109.21959413961643,M,Index base 2004
2005-06-30,datos_emae_index,datos.gob.ar,108.67902470174124,M,Index base 2004
2005-07-31,datos_emae_index,datos.gob.ar,109.15157036000063,M,Index base 2004
2005-08-31,datos_emae_index,datos.gob.ar,109.35261307998248,M,Index base 2004
2005-09-30,datos_emae_index,datos.gob.ar,109.21839742800746,M,Index base 2004
2005-10-31,datos_emae_index,datos.gob.ar,109.9132461655674,M,Index base 2004
2005-11-30,datos_emae_index,datos.gob.ar,111.14211648564265,M,Index base 2004
2005-12-31,datos_emae_index,datos.gob.ar,113.01991915986918,M,Index base 2004
2006-01-31,datos_emae_index,datos.gob.ar,113.83393234928565,M,Index base 2004
2006-02-28,datos_emae_index,datos.gob.ar,114.7632236894417,M,Index base 2004
2006-03-31,datos_emae_index,datos.gob.ar,114.30275049422951,M,Index base 2004
2006-04-30,datos_emae_index,datos.gob.ar,115.79056402935396,M,Index base 2004
2006-05-31,datos_emae_index,datos.gob.ar,115.05054567130333,M,Index base 2004
2006-06-30,datos_emae_index,datos.gob.ar,116.22483838200296,M,Index base 2004
2006-07-31,datos_emae_index,datos.gob.ar,118.15066493886864,M,Index base 2004
2006-08-31,datos_emae_index,datos.gob.ar,118.77948061216146,M,Index base 2004
2006-09-30,datos_emae_index,datos.gob.ar,119.8396857251438,M,Index base 2004
2006-10-31,datos_emae_index,datos.gob.ar,120.5556922484028,M,Index base 2004
2006-11-30,datos_emae_index,datos.gob.ar,120.6619699322087,M,Index base 2004
