date,series_id,source,value,frequency,unit
2015-01-02,bcra_badlar,BCRA,20.3125,D,Percent nominal annual rate
2015-01-05,bcra_badlar,BCRA,19.8125,D,Percent nominal annual rate
2015-01-06,bcra_badlar,BCRA,20.125,D,Percent nominal annual rate
2015-01-07,bcra_badlar,BCRA,20.3125,D,Percent nominal annual rate
2015-01-08,bcra_badlar,BCRA,20.0,D,Percent nominal annual rate
2015-01-09,bcra_badlar,BCRA,20.3125,D,Percent nominal annual rate
2015-01-12,bcra_badlar,BCRA,19.9375,D,Percent nominal annual rate
2015-01-13,bcra_badlar,BCRA,20.125,D,Percent nominal annual rate
2015-01-14,bcra_badlar,BCRA,20.0625,D,Percent nominal annual rate
2015-01-15,bcra_badlar,BCRA,19.6875,D,Percent nominal annual rate
2015-01-16,bcra_badlar,BCRA,19.875,D,Percent nominal annual rate
2015-01-19,bcra_badlar,BCRA,20.4375,D,Percent nominal annual rate
2015-01-20,bcra_badlar,BCRA,19.625,D,Percent nominal annual rate
2015-01-21,bcra_badlar,BCRA,20.4375,D,Percent nominal annual rate
2015-01-22,bcra_badlar,BCRA,20.3125,D,Percent nominal annual rate
2015-01-23,bcra_badlar,BCRA,20.6875,D,Percent nominal annual rate
2015-01-26,bcra_badlar,BCRA,20.6875,D,Percent nominal annual rate
2015-01-27,bcra_badlar,BCRA,20.8125,D,Percent nominal annual rate
2015-01-28,bcra_badlar,BCRA,20.4375,D,Percent nominal annual rate
2015-01-29,bcra_badlar,BCRA,20.3125,D,Percent nominal annual rate
2015-01-30,bcra_badlar,BCRA,20.5625,D,Percent nominal annual rate
2015-02-02,bcra_badlar,BCRA,20.5,D,Percent nominal annual rate
2015-02-03,bcra_badlar,BCRA,21.0625,D,Percent nominal annual rate
2015-02-04,bcra_badlar,BCRA,20.5,D,Percent nominal annual rate
2015-02-05,bcra_badlar,BCRA,20.3125,D,Percent nominal annual rate
2015-02-06,bcra_badlar,BCRA,20.75,D,Percent nominal annual rate
2015-02-09,bcra_badlar,BCRA,20.4375,D,Percent nominal annual rate
2015-02-10,bcra_badlar,BCRA,21.1875,D,Percent nominal annual rate
2015-02-11,bcra_badlar,BCRA,20.5,D,Percent nominal annual rate
