date,series_id,source,value,frequency,unit
2009-01-01,wb_arg_gdp_growth,World Bank,-5.91852507634947,A,Annual percent
2010-01-01,wb_arg_gdp_growth,World Bank,10.1253981561002,A,Annual percent
2011-01-01,wb_arg_gdp_growth,World Bank,6.00395169280579,A,Annual percent
2012-01-01,wb_arg_gdp_growth,World Bank,-1.0264204544321,A,Annual percent
2013-01-01,wb_arg_gdp_growth,World Bank,2.40532378079436,A,Annual percent
2014-01-01,wb_arg_gdp_growth,World Bank,-2.51261532081394,A,Annual percent
2015-01-01,wb_arg_gdp_growth,World Bank,2.73115982828944,A,Annual percent
2016-01-01,wb_arg_gdp_growth,World Bank,-2.08032784377811,A,Annual percent
2017-01-01,wb_arg_gdp_growth,World Bank,2.81850297775918,A,Annual percent
2018-01-01,wb_arg_gdp_growth,World Bank,-2.61739646282038,A,Annual percent
2019-01-01,wb_arg_gdp_growth,World Bank,-2.00086100285785,A,Annual percent
2020-01-01,wb_arg_gdp_growth,World Bank,-9.9004848136464,A,Annual percent
2021-01-01,wb_arg_gdp_growth,World Bank,10.4418119882506,A,Annual percent
2022-01-01,wb_arg_gdp_growth,World Bank,6.02074537534855,A,Annual percent
2023-01-01,wb_arg_gdp_growth,World Bank,-1.85578803046339,A,Annual percent
2024-01-01,wb_arg_gdp_growth,World Bank,-1.34293072157739,A,Annual percent
2009-01-01,wb_us_gdp_growth,World Bank,-2.57650022958367,A,Annual percent
2010-01-01,wb_us_gdp_growth,World Bank,2.69519257744442,A,Annual percent
2011-01-01,wb_us_gdp_growth,World Bank,1.56440685763506,A,Annual percent
2012-01-01,wb_us_gdp_growth,World Bank,2.28911338669843,A,Annual percent
2013-01-01,wb_us_gdp_growth,World Bank,2.11783009790057,A,Annual percent
2014-01-01,wb_us_gdp_growth,World Bank,2.52381981363968,A,Annual percent
2015-01-01,wb_us_gdp_growth,World Bank,2.94555045484053,A,Annual percent
2016-01-01,wb_us_gdp_growth,World Bank,1.81945147788167,A,Annual percent
2017-01-01,wb_us_gdp_growth,World Bank,2.45762229852507,A,Annual percent
2018-01-01,wb_us_gdp_growth,World Bank,2.96650506901305,A,Annual percent
2019-01-01,wb_us_gdp_growth,World Bank,2.58382533412825,A,Annual percent
2020-01-01,wb_us_gdp_growth,World Bank,-2.16302914036166,A,Annual percent
2021-01-01,wb_us_gdp_growth,World Bank,6.05505293244555,A,Annual percent
2022-01-01,wb_us_gdp_growth,World Bank,2.51237531986017,A,Annual percent
2023-01-01,wb_us_gdp_growth,World Bank,2.88755600749487,A,Annual percent
2024-01-01,wb_us_gdp_growth,World Bank,2.79300127716779,A,Annual percent
